timing unit: 1 / 1000000 of a second
maxDigits: 6000
trialsPerDigit: 10
digits	average mul() time	average fastMul() time	crossover achieved?	
5060	307166	225900	1
5070	310213	229106	1
5080	310742	227583	1
5090	310883	228398	1
5100	313334	232300	1
5110	313848	229773	1
5120	314809	230664	1
5130	315848	231975	1
5140	317538	232790	1
5150	317871	233968	1
5160	319183	235398	1
5170	321184	235805	1
5180	322350	236578	1
5190	322894	237971	1
5200	324247	238465	1
5210	325973	238371	1
5220	326628	239096	1
5230	329228	240076	1
5240	329497	240727	1
5250	331964	241862	1
5260	331666	244440	1
5270	333997	244000	1
5280	335418	245517	1
5290	335425	246537	1
5300	337240	246886	1
5310	338279	247989	1
5320	339340	247726	1
5330	340167	249969	1
5340	341971	253061	1
5350	343377	248854	1
5360	344875	252437	1
5370	345868	252828	1
5380	347534	252216	1
5390	348530	254445	1
5400	350407	253951	1
5410	350428	256634	1
5420	351746	260227	1
5430	352884	256569	1
5440	354607	256320	1
5450	356030	259278	1
5460	356943	258076	1
5470	357992	261096	1
5480	359547	261116	1
5490	360580	259315	1
5500	362076	262592	1
5510	363764	276735	1
5520	364915	262851	1
5530	366036	262714	1
5540	368585	263650	1
5550	368688	263560	1
5560	369949	264541	1
5570	371121	264800	1
5580	372618	264532	1
5590	374387	266074	1
5600	375212	266853	1
5610	377067	268673	1
5620	378737	266982	1
5630	379779	268666	1
5640	381136	269109	1
5650	381912	270308	1
5660	383758	269238	1
5670	385069	272974	1
5680	387654	273559	1
5690	389045	274056	1
5700	391105	275770	1
5710	391876	278020	1
5720	393879	276837	1
5730	394533	277284	1
5740	396420	278789	1
5750	396980	277887	1
5760	399032	276038	1
5770	399874	276710	1
5780	410997	290112	1
5790	410144	282346	1
5800	403067	280434	1
5810	404489	281094	1
5820	406064	279804	1
5830	407648	281792	1
5840	408716	281590	1
5850	409875	281894	1
5860	411404	281219	1
5870	413312	281344	1
5880	415144	282633	1
5890	418020	284672	1
5900	417323	282678	1
5910	418234	283855	1
5920	419833	283631	1
5930	420675	284372	1
5940	422302	284593	1
5950	424097	287613	1
5960	425104	285889	1
5970	426839	286846	1
5980	427970	287209	1
5990	429347	286685	1
6000	431533	287592	1
